_id	sensor_id	title	description	type	latitude	longitude	changed	cin_id	creation_time
1	1745	Silverstone01	Site 1, Marshal Campground	M680	52.083884	-1.019874	2016-06-27 12:09:19	cin20010121T094659980070419139872948041472	1467712661
2	1746	Silverstone02	Site 2, Car Park Area 37 (VIP)	M680	52.074274	-1.005932	2016-06-27 12:10:26	cin19850729T101651491480211139872840963840	1467712662
3	1747	Silverstone03	Site 3, Car Park Area 40	M680	52.068423	-1.024824	2016-06-27 12:11:24	cin20010602T140015991490415139872832571136	1467712662
4	1748	Silverstone04	Site 4, Car Park Area 43	M680	52.068084	-1.0264	2016-06-27 12:12:17	cin19851018T140332498492212139872849356544	1467712663
5	1749	Silverstone05	Site 5, Car Park Area 44	M680	52.070038	-1.026317	2016-06-27 12:23:52	cin19700513T15314311460703139872857749248	1467712664
6	1750	Silverstone06	Site 6, Car Park Area 50C	M680	52.070759	-1.024863	2016-06-27 12:24:45	cin19860116T050832506236112139872948041472	1467712664
7	1751	Silverstone07	Site 7, Car Park Area 50B	M680	52.071864	-1.02504	2016-06-27 12:25:35	cin20010905T053843999668323139872840963840	1467712664
8	1752	Silverstone08	Site 8, Main Entrance	M680	52.07346	-1.025154	2016-06-27 12:26:23	cin19860802T101143523361503139872824178432	1467712665
9	1753	Silverstone09	Site 9, Main West Grass Car Parks	M680	52.07329	-1.02732	2016-06-27 12:27:17	cin19720619T00423377762553139872857749248	1467712666
10	1754	Silverstone10	Site 10, North Car Parks	M680	52.078907	-1.026202	2016-06-27 12:28:09	cin19880629T135052583595452139872849356544	1467712666
